epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.82643,3.38082,5.61849,4.55232,0,0,0,0,2.82697,4.78383,4.15852,3.334e-05,3.334e-05,3.334e-05
2,3.76639,3.30827,5.68411,4.40636,0,0,0,0,2.82695,4.77944,4.1583,8.25248e-05,8.25248e-05,8.25248e-05
3,5.84849,3.32294,5.54379,4.47539,0,0,0,0,2.82696,4.77881,4.15793,0.000130719,0.000130719,0.000130719
4,8.69608,3.30622,5.2439,4.42317,0,0,0,0,2.83204,4.77374,4.15595,0.000177924,0.000177924,0.000177924
5,10.8839,3.25593,5.3376,4.30368,0,0,0,0,2.82587,4.77569,4.15534,0.000224138,0.000224138,0.000224138
6,12.7035,3.16215,5.09282,4.22831,0,0,0,0,2.82801,4.76333,4.15312,0.000269362,0.000269362,0.000269362
7,14.5813,3.28454,4.81416,4.20271,0,0,0,0,2.82074,4.77265,4.15103,0.000313596,0.000313596,0.000313596
8,16.2637,3.27596,4.83679,4.12114,0,0,0,0,2.80122,4.80607,4.14922,0.00035684,0.00035684,0.00035684
9,18.2301,3.27097,4.55963,4.03373,0,0,0,0,2.77531,4.50221,4.14585,0.000399093,0.000399093,0.000399093
10,20.6287,2.95944,4.46854,4.02856,0,0,0,0,2.7676,4.41662,4.14208,0.000440356,0.000440356,0.000440356
11,23.3507,2.9647,4.18897,3.9021,0,0,0,0,2.74333,4.39146,4.13803,0.000480629,0.000480629,0.000480629
12,25.2988,3.08051,4.28419,3.83185,0,0,0,0,2.72641,4.3879,4.1336,0.000519912,0.000519912,0.000519912
13,27.2968,2.96633,3.93821,3.71116,0,0,0,0,2.71648,4.40399,4.13201,0.000558205,0.000558205,0.000558205
14,29.0892,2.96997,3.69082,3.59268,0,0,0,0,2.69974,4.41529,4.12749,0.000595507,0.000595507,0.000595507
15,30.8797,2.84914,3.83281,3.50635,0,0,0,0,2.68002,4.43417,4.12781,0.00063182,0.00063182,0.00063182
16,32.9486,2.62187,3.52485,3.31208,0,0,0,0,2.68113,4.43862,4.12441,0.000667142,0.000667142,0.000667142
