epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88725,3.38082,5.61849,4.55232,0,0,0,0,2.82697,4.78383,4.15852,3.334e-05,3.334e-05,3.334e-05
2,3.97039,3.30827,5.68411,4.40636,0,0,0,0,2.82695,4.77944,4.1583,8.25248e-05,8.25248e-05,8.25248e-05
3,6.30767,3.32294,5.54379,4.47539,0,0,0,0,2.82696,4.77881,4.15793,0.000130719,0.000130719,0.000130719
4,8.58073,3.30622,5.2439,4.42317,0,0,0,0,2.83204,4.77374,4.15595,0.000177924,0.000177924,0.000177924
5,10.5942,3.25593,5.3376,4.30368,0,0,0,0,2.82587,4.77569,4.15534,0.000224138,0.000224138,0.000224138
6,13.0145,3.16215,5.09282,4.22831,0,0,0,0,2.82801,4.76333,4.15312,0.000269362,0.000269362,0.000269362
7,14.6841,3.28454,4.81416,4.20271,0,0,0,0,2.82074,4.77265,4.15103,0.000313596,0.000313596,0.000313596
