epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,52.1215,2.27041,2.60163,2.68433,0,0,0,0,2.66796,4.53691,4.13214,0.000965901,0.000965901,0.000965901
27,54.2295,2.25807,2.6859,2.68781,0,0,0,0,2.67408,4.55334,4.13156,0.000990331,0.000990331,0.000990331
28,56.6454,2.29166,2.91894,2.62256,0,0,0,0,2.63548,4.62245,4.12884,0.00101377,0.00101377,0.00101377
29,58.4625,2.32135,2.52203,2.64842,0,0,0,0,2.62418,4.65149,4.13299,0.00103622,0.00103622,0.00103622
30,60.2763,2.33855,2.53972,2.5957,0,0,0,0,2.62639,4.6888,4.13197,0.00105768,0.00105768,0.00105768
31,62.0263,2.21545,2.49317,2.61291,0,0,0,0,2.64379,4.70795,4.14397,0.00107815,0.00107815,0.00107815
32,63.8552,2.26502,2.51058,2.5055,0,0,0,0,2.63885,4.7451,4.141,0.00109763,0.00109763,0.00109763
33,65.4779,1.99223,2.37058,2.48799,0,0,0,0,2.58954,4.72645,4.11302,0.00111612,0.00111612,0.00111612
34,67.5698,2.28394,2.55169,2.43704,0.00063,0.25,0.00055,0.00011,2.4587,4.78623,4.04639,0.00112239,0.00112239,0.00112239
35,70.0078,2.09071,2.4722,2.44294,0.00062,0.25,0.00055,0.00011,2.4515,4.81255,4.03596,0.00110589,0.00110589,0.00110589
36,72.0798,2.17339,2.24205,2.33413,0.00053,0.25,0.00051,0.00015,2.50267,4.79908,4.00251,0.00108938,0.00108938,0.00108938
37,73.9739,2.07938,2.33969,2.40662,0.00044,0.25,0.00053,0.0002,2.54831,4.74944,3.96606,0.00107288,0.00107288,0.00107288
38,75.6517,1.98092,2.27457,2.2855,0.00043,0.25,0.24761,0.0991,2.5235,4.7755,3.95447,0.00105638,0.00105638,0.00105638
39,77.4061,2.04479,2.26818,2.32676,0.00044,0.25,0.24761,0.05075,2.52885,4.78113,3.93443,0.00103987,0.00103987,0.00103987
40,79.0644,1.92989,2.03982,2.24007,0.00199,0.34375,0.09971,0.02979,2.62169,4.49123,3.52216,0.00102337,0.00102337,0.00102337
41,80.7483,2.0064,2.09773,2.22004,0.00292,0.40625,0.1025,0.02928,2.62368,4.35164,3.34454,0.00100687,0.00100687,0.00100687
42,82.9001,1.92139,1.9459,2.19772,0.17452,0.07096,0.1174,0.04485,2.50751,4.09288,3.11912,0.000990365,0.000990365,0.000990365
43,85.4379,1.9029,1.99086,2.14677,0.20963,0.30866,0.30705,0.06102,2.50874,3.78276,2.83916,0.000973861,0.000973861,0.000973861
44,87.6949,1.87855,2.03611,2.15687,0.25326,0.34375,0.38315,0.06691,2.43154,3.10993,2.54816,0.000957358,0.000957358,0.000957358
45,89.1968,1.89466,1.98515,2.10238,0.93017,0.09375,0.42999,0.07637,2.3784,2.76301,2.35409,0.000940855,0.000940855,0.000940855
46,91.0089,1.80271,1.92653,2.12249,0.43371,0.125,0.25355,0.08468,2.40908,2.49861,2.22567,0.000924352,0.000924352,0.000924352
47,92.5238,1.89835,1.88802,2.09101,0.5889,0.375,0.3557,0.10201,2.30413,2.31537,2.13164,0.000907848,0.000907848,0.000907848
48,94.4424,1.79536,1.77806,2.02865,0.40111,0.4375,0.29939,0.12093,2.07634,2.13052,2.04673,0.000891345,0.000891345,0.000891345
49,96.3818,1.75347,1.97442,1.98285,0.73165,0.27016,0.28187,0.10476,2.02084,2.01752,1.99386,0.000874842,0.000874842,0.000874842
50,98.8164,1.68133,1.85179,1.97771,0.84188,0.34375,0.38927,0.18292,1.9615,1.53376,1.86845,0.000858338,0.000858338,0.000858338
51,101.02,1.71862,1.63998,1.93007,0.85655,0.3125,0.38328,0.20585,1.87897,1.4054,1.83709,0.000841835,0.000841835,0.000841835
52,103.011,1.7601,1.71519,1.99394,0.53542,0.59375,0.58243,0.20978,1.84147,1.47062,1.75838,0.000825332,0.000825332,0.000825332
53,104.569,1.7716,1.68092,1.92595,0.37428,0.5625,0.57388,0.21204,1.91877,1.54605,1.7761,0.000808828,0.000808828,0.000808828
54,106.334,1.78905,1.75641,1.97175,0.75863,0.28125,0.41549,0.18252,1.82268,1.57837,1.72525,0.000792325,0.000792325,0.000792325
55,107.945,1.81654,1.73303,1.93765,0.78925,0.28125,0.34401,0.19446,1.72649,1.58843,1.69197,0.000775822,0.000775822,0.000775822
56,109.536,1.62976,1.67559,1.9336,0.30324,0.34375,0.3802,0.1995,1.71264,1.46607,1.72478,0.000759318,0.000759318,0.000759318
57,111.5,1.61785,1.59006,1.85945,0.95542,0.3197,0.45169,0.22999,1.74609,1.40978,1.71534,0.000742815,0.000742815,0.000742815
58,114.219,1.6283,1.60186,1.92915,0.47168,0.59375,0.61867,0.25302,1.68703,1.49887,1.69613,0.000726312,0.000726312,0.000726312
59,116.086,1.58949,1.51279,1.84816,0.72851,0.5,0.62498,0.25516,1.77419,1.48387,1.68837,0.000709809,0.000709809,0.000709809
60,117.956,1.65975,1.61782,1.88653,0.57457,0.68133,0.7038,0.2894,1.53725,1.29032,1.55219,0.000693305,0.000693305,0.000693305
61,119.603,1.5724,1.47024,1.82081,0.49684,0.71875,0.7145,0.29347,1.51359,1.2121,1.53007,0.000676802,0.000676802,0.000676802
62,121.377,1.5299,1.40561,1.78604,0.3126,0.4375,0.51378,0.29066,1.44476,1.17349,1.51773,0.000660299,0.000660299,0.000660299
63,123.054,1.5921,1.47674,1.80055,0.36805,0.51064,0.52991,0.28625,1.57213,1.20485,1.51771,0.000643795,0.000643795,0.000643795
64,125.161,1.60142,1.38148,1.78271,0.46156,0.40625,0.51987,0.26539,1.656,1.23806,1.52999,0.000627292,0.000627292,0.000627292
65,127.553,1.66597,1.5613,1.79655,0.49095,0.46875,0.51364,0.26844,1.57795,1.19833,1.48384,0.000610789,0.000610789,0.000610789
66,129.937,1.61191,1.5248,1.78363,0.95407,0.4375,0.49288,0.27043,1.48837,1.18946,1.44481,0.000594286,0.000594286,0.000594286
67,131.821,1.6189,1.46202,1.76218,0.94304,0.46875,0.50958,0.27589,1.41315,1.17207,1.40842,0.000577782,0.000577782,0.000577782
68,133.422,1.56998,1.42866,1.71611,0.48543,0.46875,0.55137,0.31109,1.35126,1.1097,1.43759,0.000561279,0.000561279,0.000561279
69,135.182,1.49371,1.31954,1.70718,0.67573,0.853,0.82443,0.33492,1.41022,1.09286,1.46307,0.000544776,0.000544776,0.000544776
70,136.954,1.48922,1.31701,1.70145,0.53543,0.93273,0.82129,0.30593,1.68476,1.07621,1.57466,0.000528272,0.000528272,0.000528272
71,138.675,1.45051,1.35497,1.77517,0.64218,0.75,0.89671,0.33559,1.6302,1.04918,1.53198,0.000511769,0.000511769,0.000511769
72,141.065,1.47271,1.35001,1.77297,0.62737,0.71875,0.88022,0.34226,1.55654,1.06098,1.47707,0.000495266,0.000495266,0.000495266
73,143.487,1.43803,1.24017,1.66606,0.7342,0.86802,0.96413,0.34663,1.51568,1.0656,1.44259,0.000478762,0.000478762,0.000478762
74,145.312,1.54614,1.34145,1.72248,0.6132,0.71875,0.7293,0.32532,1.53434,0.98789,1.43165,0.000462259,0.000462259,0.000462259
75,147.038,1.36518,1.20438,1.55878,0.55464,0.71875,0.54732,0.28473,1.51678,0.93698,1.42356,0.000445756,0.000445756,0.000445756
76,148.681,1.48477,1.26634,1.64288,0.59274,0.71875,0.57417,0.32408,1.49132,0.92053,1.37552,0.000429253,0.000429253,0.000429253
77,150.478,1.48,1.27935,1.65545,0.62979,0.71875,0.572,0.30836,1.41263,0.87488,1.36229,0.000412749,0.000412749,0.000412749
78,152.378,1.39326,1.23829,1.58577,0.61072,0.71875,0.572,0.30997,1.39474,0.9435,1.39878,0.000396246,0.000396246,0.000396246
79,154.291,1.38036,1.24355,1.62075,0.58822,0.71875,0.55482,0.30783,1.41135,0.95721,1.40414,0.000379743,0.000379743,0.000379743
80,156.817,1.42908,1.2541,1.62301,0.60809,0.71875,0.57418,0.33939,1.38395,0.90277,1.36946,0.000363239,0.000363239,0.000363239
81,158.852,1.39069,1.21161,1.53446,0.60781,0.71875,0.57685,0.3343,1.3975,0.87747,1.36882,0.000346736,0.000346736,0.000346736
82,160.637,1.38152,1.20369,1.60193,0.73598,0.96875,0.81816,0.34908,1.38258,0.87579,1.36133,0.000330233,0.000330233,0.000330233
83,162.253,1.4072,1.17745,1.58113,0.76604,0.96875,0.82015,0.3676,1.39444,0.87772,1.3503,0.000313729,0.000313729,0.000313729
84,164.175,1.31129,1.1656,1.56295,0.72026,0.69457,0.61673,0.34122,1.36997,0.87839,1.34375,0.000297226,0.000297226,0.000297226
85,165.7,1.36996,1.23052,1.53372,0.4818,0.75,0.57689,0.32619,1.36295,0.86253,1.34587,0.000280723,0.000280723,0.000280723
86,167.286,1.37743,1.17861,1.51562,0.41993,0.75,0.55783,0.32674,1.36289,0.81523,1.34324,0.00026422,0.00026422,0.00026422
87,169.296,1.30436,1.14753,1.51589,0.42116,0.75,0.55961,0.32633,1.38162,0.83895,1.35358,0.000247716,0.000247716,0.000247716
88,172.053,1.38973,1.1599,1.54894,0.45745,0.7349,0.55787,0.3338,1.32688,0.87997,1.32887,0.000231213,0.000231213,0.000231213
89,174.165,1.27966,1.17577,1.56292,0.49551,0.75,0.5563,0.31929,1.40002,0.93655,1.37683,0.00021471,0.00021471,0.00021471
90,176.033,1.41973,1.22495,1.64597,0.51997,0.75,0.55633,0.29672,1.53644,0.97679,1.47781,0.000198206,0.000198206,0.000198206
91,180.15,1.30523,1.28537,1.51762,0.71294,0.70109,0.69985,0.31534,1.55631,0.96599,1.46562,0.000181703,0.000181703,0.000181703
92,182.078,1.19857,1.14619,1.45202,0.60242,0.71875,0.61554,0.32416,1.50254,1.01258,1.37321,0.0001652,0.0001652,0.0001652
93,184.323,1.2446,1.16351,1.48123,0.62223,0.71875,0.73928,0.35276,1.48538,1.02871,1.36874,0.000148696,0.000148696,0.000148696
94,186.543,1.24472,1.14659,1.43706,0.64447,0.72003,0.74007,0.3572,1.50851,1.04404,1.36899,0.000132193,0.000132193,0.000132193
95,188.608,1.21503,1.18813,1.44549,0.62513,0.75,0.74174,0.36209,1.48972,1.01162,1.34923,0.00011569,0.00011569,0.00011569
96,190.159,1.26505,1.18071,1.3828,0.65149,0.75,0.74174,0.36327,1.45691,0.95642,1.32405,9.91865e-05,9.91865e-05,9.91865e-05
97,191.685,1.22113,1.12416,1.40606,0.70377,0.75,0.7435,0.37359,1.4103,0.91571,1.3072,8.26832e-05,8.26832e-05,8.26832e-05
98,193.215,1.18497,1.11975,1.38636,0.80021,0.73297,0.86824,0.39136,1.38935,0.87196,1.31017,6.61799e-05,6.61799e-05,6.61799e-05
99,194.829,1.19883,1.11488,1.40958,0.83241,0.74295,0.74531,0.38361,1.3697,0.85761,1.30692,4.96766e-05,4.96766e-05,4.96766e-05
100,196.313,1.21903,1.11812,1.3847,0.9863,0.99305,0.995,0.46108,1.35937,0.84685,1.30043,3.31733e-05,3.31733e-05,3.31733e-05
