epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97408,3.38082,5.61849,4.55232,0,0,0,0,2.82697,4.78383,4.15852,3.334e-05,3.334e-05,3.334e-05
2,4.91823,3.30827,5.68411,4.40636,0,0,0,0,2.82695,4.77944,4.1583,8.25248e-05,8.25248e-05,8.25248e-05
3,6.72355,3.32294,5.54379,4.47539,0,0,0,0,2.82696,4.77881,4.15793,0.000130719,0.000130719,0.000130719
4,8.69878,3.30622,5.2439,4.42317,0,0,0,0,2.83204,4.77374,4.15595,0.000177924,0.000177924,0.000177924
5,11.1498,3.25593,5.3376,4.30368,0,0,0,0,2.82587,4.77569,4.15534,0.000224138,0.000224138,0.000224138
6,13.5164,3.16215,5.09282,4.22831,0,0,0,0,2.82801,4.76333,4.15312,0.000269362,0.000269362,0.000269362
7,15.3075,3.28454,4.81416,4.20271,0,0,0,0,2.82074,4.77265,4.15103,0.000313596,0.000313596,0.000313596
8,17.0399,3.27596,4.83679,4.12114,0,0,0,0,2.80122,4.80607,4.14922,0.00035684,0.00035684,0.00035684
9,18.8203,3.27097,4.55963,4.03373,0,0,0,0,2.77531,4.50221,4.14585,0.000399093,0.000399093,0.000399093
10,20.586,2.95944,4.46854,4.02856,0,0,0,0,2.7676,4.41662,4.14208,0.000440356,0.000440356,0.000440356
11,22.3508,2.9647,4.18897,3.9021,0,0,0,0,2.74333,4.39146,4.13803,0.000480629,0.000480629,0.000480629
12,24.4644,3.08051,4.28419,3.83185,0,0,0,0,2.72641,4.3879,4.1336,0.000519912,0.000519912,0.000519912
13,27.1245,2.96633,3.93821,3.71116,0,0,0,0,2.71648,4.40399,4.13201,0.000558205,0.000558205,0.000558205
14,29.0849,2.96997,3.69082,3.59268,0,0,0,0,2.69974,4.41529,4.12749,0.000595507,0.000595507,0.000595507
15,30.9528,2.84914,3.83281,3.50635,0,0,0,0,2.68002,4.43417,4.12781,0.00063182,0.00063182,0.00063182
16,32.7045,2.62187,3.52485,3.31208,0,0,0,0,2.68113,4.43862,4.12441,0.000667142,0.000667142,0.000667142
17,34.4444,2.57253,3.37201,3.21145,0,0,0,0,2.64729,4.4534,4.11361,0.000701474,0.000701474,0.000701474
18,36.0978,2.56924,3.29423,3.15376,0,0,0,0,2.63281,4.4574,4.11199,0.000734815,0.000734815,0.000734815
19,38.1001,2.56644,3.15937,2.99997,0,0,0,0,2.62747,4.46538,4.11441,0.000767167,0.000767167,0.000767167
20,40.7453,2.51514,2.98402,3.02375,0,0,0,0,2.62878,4.47728,4.12121,0.000798528,0.000798528,0.000798528
21,42.7613,2.32735,2.76365,2.88888,0,0,0,0,2.61675,4.48671,4.11908,0.000828899,0.000828899,0.000828899
22,44.6432,2.46558,2.99671,3.02853,0,0,0,0,2.62839,4.49364,4.11781,0.00085828,0.00085828,0.00085828
23,46.3143,2.45469,2.85927,2.94786,0,0,0,0,2.62266,4.51106,4.12168,0.000886671,0.000886671,0.000886671
24,48.2219,2.33898,2.80689,2.7791,0,0,0,0,2.63832,4.53818,4.13527,0.000914071,0.000914071,0.000914071
25,50.2137,2.34043,2.46182,2.71694,0,0,0,0,2.65202,4.53818,4.13526,0.000940481,0.000940481,0.000940481
