epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,93.134,1.89835,1.88802,2.09101,0.5889,0.375,0.3557,0.10201,2.30413,2.31537,2.13164,0.000907848,0.000907848,0.000907848
48,95.2159,1.79536,1.77806,2.02865,0.40111,0.4375,0.29939,0.12093,2.07634,2.13052,2.04673,0.000891345,0.000891345,0.000891345
49,97.764,1.75347,1.97442,1.98285,0.73165,0.27016,0.28187,0.10476,2.02084,2.01752,1.99386,0.000874842,0.000874842,0.000874842
50,99.9573,1.68133,1.85179,1.97771,0.84188,0.34375,0.38927,0.18292,1.9615,1.53376,1.86845,0.000858338,0.000858338,0.000858338
51,101.672,1.71862,1.63998,1.93007,0.85655,0.3125,0.38328,0.20585,1.87897,1.4054,1.83709,0.000841835,0.000841835,0.000841835
52,103.528,1.7601,1.71519,1.99394,0.53542,0.59375,0.58243,0.20978,1.84147,1.47062,1.75838,0.000825332,0.000825332,0.000825332
53,105.163,1.7716,1.68092,1.92595,0.37428,0.5625,0.57388,0.21204,1.91877,1.54605,1.7761,0.000808828,0.000808828,0.000808828
54,106.949,1.78905,1.75641,1.97175,0.75863,0.28125,0.41549,0.18252,1.82268,1.57837,1.72525,0.000792325,0.000792325,0.000792325
55,108.411,1.81654,1.73303,1.93765,0.78925,0.28125,0.34401,0.19446,1.72649,1.58843,1.69197,0.000775822,0.000775822,0.000775822
56,110.455,1.62976,1.67559,1.9336,0.30324,0.34375,0.3802,0.1995,1.71264,1.46607,1.72478,0.000759318,0.000759318,0.000759318
57,112.879,1.61785,1.59006,1.85945,0.95542,0.3197,0.45169,0.22999,1.74609,1.40978,1.71534,0.000742815,0.000742815,0.000742815
58,114.946,1.6283,1.60186,1.92915,0.47168,0.59375,0.61867,0.25302,1.68703,1.49887,1.69613,0.000726312,0.000726312,0.000726312
59,116.776,1.58949,1.51279,1.84816,0.72851,0.5,0.62498,0.25516,1.77419,1.48387,1.68837,0.000709809,0.000709809,0.000709809
60,118.698,1.65975,1.61782,1.88653,0.57457,0.68133,0.7038,0.2894,1.53725,1.29032,1.55219,0.000693305,0.000693305,0.000693305
61,120.485,1.5724,1.47024,1.82081,0.49684,0.71875,0.7145,0.29347,1.51359,1.2121,1.53007,0.000676802,0.000676802,0.000676802
62,122.106,1.5299,1.40561,1.78604,0.3126,0.4375,0.51378,0.29066,1.44476,1.17349,1.51773,0.000660299,0.000660299,0.000660299
63,123.979,1.5921,1.47674,1.80055,0.36805,0.51064,0.52991,0.28625,1.57213,1.20485,1.51771,0.000643795,0.000643795,0.000643795
64,126.267,1.60142,1.38148,1.78271,0.46156,0.40625,0.51987,0.26539,1.656,1.23806,1.52999,0.000627292,0.000627292,0.000627292
